id,place_name,city,description,image_url,time,distance,price,age,lung,motion,sight,r_r,a_r,h_r,m_r,n_r,s_r,c_r,e_r
11,Damnoen Saduak Floating Market ,Bangkok," Marketed as a major tourist attraction and a marker of Thai culture, the Damnoen Saduak Floating Market is among the most popular floating markets in the world. Boats swaying on the water are navigated by Thai locals and traders who sell all kinds of farm produce, fruits, souvenirs and freshly prepared local foods, which visitors can enjoy while sailing in their own boats. ",https://www.holidify.com/images/cmsuploads/square/attr_121719_20190923165029.jpg,2.6,8.2,2100,1,0,1,1,7.5,6.7,4.4,8.8,7,8.7,9.5,2.6
12,Dusit Zoo ,Bangkok," The oldest zoo in Thailand, Dusit Zoo lies in the vicinity of Bangkok's governmental headquarters in the Dusit District. Boasting of a heavy annual footfall, Dusit Zoo exhibits many species, ranging from exotic to rare, such as monkeys, penguins, camels, the albino barking deer and the white Bengal tiger. It also offers tram rides and boating services, which guarantee an uninhibited day of fun. ",https://www.holidify.com/images/cmsuploads/square/attr_121728.jpg,4.9,2.7,3000,1,1,0,0,7.9,7.7,4.3,3.4,5.7,4,7.8,9.3
13,Siam Paragon Mall ,Bangkok," Tourists who love high-end international fashion brands should visit Siam Paragon. From Jimmy Choo and Versace to Prada, over 70 globally renowned brands are available here. Besides clothing, brands such as Sony, Samsung, Aston Martin and BMW can be found here too. The mall is also home to one of the largest aquariums in Southeast Asia, a 16 screen cineplex and restaurants of all the possible cuisines. ",https://www.holidify.com/images/cmsuploads/square/13321882733_204eafed53_b_20190910162245.jpg,2.1,4,2900,1,1,1,1,8.1,6.6,5.9,4.7,3.2,5.2,7.4,2.6
14,"Art in Paradise, Bangkok ",Bangkok," Art in Paradise is an innovative and interactive 3D art museum located at the Esplanade mall, Bangkok. The brainchild of Shin Jae Yol, it has many rooms filled with impressive artwork done by Korean and Thai artists. The primary motive behind this cultural haven was to help the public enjoy the experience of 3D art and illusion art. ",https://www.holidify.com/images/cmsuploads/square/14357517574_3f977ef3f1_o_20190916160211.jpg,4.8,8.2,3300,-1,0,1,0,3.1,8.3,2.8,9.3,3,3,9.5,8.1
15,Muangboran ,Bangkok," Ancient Siam, known as Muang Boran in Thai, is the world's largest open-air museum spread over 300 acres is situated 33 kms from Bangkok. With many mini-museums and sculpture gardens inside it, the museum mainly features replicas of some of the most important historical sites of Thailand.  ",https://www.holidify.com/images/cmsuploads/square/5139979185_45ef66eb44_b_20190930112427.jpg,5,4.7,3300,1,1,0,0,3.1,5.2,4.7,4.4,7.2,3.6,1.6,8.8
16,Ladyboy Shows ,Bangkok," Bangkok boasts some of the best and most entertaining ladyboy shows in the world. The lights, decor of the auditoriums, the makeup and gorgeous dresses of the ladyboys along with the small comedic skits performed by them make these shows professional and fun. Calypso Cabaret, Mambo cabaret and Playhouse cabaret are some of the most popular ones among tourists. ",https://www.holidify.com/images/attr_square/attr_121742.jpg?v=1.1,3,1.7,2000,0,0,0,1,5.9,7,5.3,2.4,6.1,2.2,3.1,7.5
17,Wat Mangkon Kamalawat ,Bangkok," Besides being the most important, Wat Mangkon Kamalawat is also the biggest Chinese Buddhist temple in Bangkok. Also called the Dragon Lotus Temple or the Wat Leng Noei Yi in Chinese, it remains extremely crowded during any festivities or occasions in the Chinese calendar, especially the Chinese New Year. Set up in 1871, Wat Mangkon Kamalawat was the first one to be bringing in  Mahayana Buddhism in Bangkok. ",https://www.holidify.com/images/cmsuploads/square/1024px-WatMangkonKamalawat02_20190326113728.JPG,3.4,2.6,200,-1,0,1,1,1.8,6.9,3.2,7.2,3.7,5.2,4.6,7.2
18,Asiatique The Riverfront ,Bangkok," Once an international port, Asiatique The Riverfront is now among the most happening night markets in Bangkok. Neatly divided into four districts, it houses a variety of options for visitors ranging from boutiques, fine dining, a mall, fashion stores and entertainment spaces. With the picturesque backdrop of the Chao Phraya River and a glittering skyline, the Asiatique makes for an exquisite experience in Bangkok. ",https://www.holidify.com/images/attr_square/attr_121723.jpg?v=1.1,3.7,7.1,800,0,1,0,0,8.1,2.1,6.2,7,5.4,4,5.6,6.9
19,Wat Suthat ,Bangkok," One of the oldest temples of Bangkok, Wat Suthat greets you with its serene aura. Overflowing with peace and tranquillity, Wat Suthat Thepphawararam is an excellent example of architecture and craftsmanship. Its construction began in the year 1782, under the reign of King Rama I, and it was completed in the 1820s, under the reign of King Rama III. ",https://www.holidify.com/images/cmsuploads/square/Wat_suthud_20180926142101.jpg,2.1,8.5,2400,1,1,0,0,6.4,2,4.1,7,4.5,7.6,5.3,3.5
20,Bangkok Art and Culture Centre ,Bangkok," The centre of Bangkokâ€™s rising art scenario, the Bangkok Art and Culture Centre (BACC) showcases a broad range of the best Thai art, music, design, film and theatre as well as the contemporary art scene from across the globe. The BACC also hosts a plethora of exhibitions of the work of local as well as international artists. Opened in 2008, the BACC is spread over an area of 4000 square metres, housing shops, an exciting art library that is not found in many places, and a handful of cafes along with the large exhibition areas. ",https://www.holidify.com/images/cmsuploads/square/large_3_20190204141502jpg,3.7,3.5,2200,-1,0,0,0,6.2,5.3,3.1,4.3,6.7,7.7,7.3,5.1
21,Jim Thompson House ,Bangkok," With a remarkable collection of art from Burma, China, Cambodia and Thailand, Jim Thompson House is a must-visit for history buffs and art lovers. A historic property, it once served as the residence of an American man named James H W Thompson, a man responsible for reviving the Thai silk industry and one of the most famous Americans in Asia during his time.  ",https://www.holidify.com/images/cmsuploads/square/7121107719_bea80fa079_b_20180927165937.jpg,2.3,4.5,2400,-1,1,0,1,4.3,7.7,7.1,3.1,3.7,3.4,6.7,7.7
22,Wat Benchamabophit ,Bangkok," Commonly known as the marble temple, Wat Benchamabophit is one of Bangkok's most beautiful attractions. Embodying an impressive, modern style of Thai architecture, Wat Benchamabophit is a royal temple hosting a beautiful Buddha statue. With red carpets, polished marble and stained-glass painted walls - Wat Benchamabophit is a unique, yet beautiful Thai temple! ",https://www.holidify.com/images/cmsuploads/square/attr_121735.jpg,5.3,7.8,2800,0,1,0,0,3.5,3.7,6,1.6,3.6,6.1,3.7,4
23,Lumpini Park ,Bangkok," Named after the birthplace of Lord Buddha in Nepal, the Lumpini Park was the first public park of Bangkok. The original aim was to exhibit the Thai crafts and flowers. Today, the place is home to a wide range of flora and fauna species attracting locals and tourists to relax and rejuvenate. Lumpini Park is the perfect place to connect with nature away from the crowded Bangkok streets of Bangkok. ",https://www.holidify.com/images/cmsuploads/square/Aerial_view_of_Lumphini_Park_20181012181040.jpg,4.5,1.2,3900,-1,1,1,0,1.9,4,7.3,7.2,2.5,3.7,3,2
24,"National Museum, Bangkok ",Bangkok," An ideal place for history lovers, the Bangkok National Museum exhibits some of the most magnificent collection of art and artefacts reflecting the Thai culture. ",https://www.holidify.com/images/attr_square/10135.jpg?v=1.1,3,4.3,2000,1,1,1,1,3.9,2.7,5.5,2.4,9.3,5.2,5.1,5.7
25,Wat Phrae Kaew ,Bangkok," The temple of the Emerald Buddha, commonly known as Wat Phra Kaew, is the most essential and revered Buddhist temple in Thailand as it enshrines the image of Phra Kaew Morakot carved from a single jade block. Established in 1785, the temple has elaborate carvings, paintings and pagodas, making it a spectacular sight for visitors. ",https://www.holidify.com/images/cmsuploads/square/attr_121759.jpg,2.2,9.9,2500,0,0,1,0,2,9.5,2.4,5.2,6,3.5,3.5,2.2
26,Royal Barges National Museum ,Bangkok," Boats used to be the primary mode of transport for Thai kings, and the National Museum of Royal BargesÂ in Bangkok exhibits traditional Thai barges with intricate designs of Hindu and Buddhist icons. The museum displays information about the customs and history of the royal barges, costumes worn by the crew, and even serves as a dry dock for the boats. ",https://www.holidify.com/images/cmsuploads/square/BKK_7790_20190912161730.jpg,4.2,1.6,1600,-1,0,1,0,2.5,1.6,1.9,8.7,6.7,2,3.2,3.8
27,"Madame Tussauds, Bangkok ",Bangkok," Bangkok's Madame Tussauds Wax museum is like no other Wax Museum in Thailand. Here, you can touch anyone from Albert Einstien to Tom Cruise, from Barack Obama to Tiger Woods. However, you are not allowed to touch any figure in the most decorated room housing the Thai royal family. The quality of craftsmanship behind the 70 wax figures will take your breath away. ",https://www.holidify.com/images/cmsuploads/square/c158a23c87436025cfdf678fa07d581a939c625f_20190912113545_20190912113619.jpg,5.6,1.3,2100,0,1,1,0,5.2,8.2,9,6,9.1,3.1,7.4,1.8
28,Wat Saket ,Bangkok," Popularly known as the Golden Mount, Wat Saket is a picturesque temple with a 58-metre golden chedi which houses a Buddha relic. Established during the Ayutthaya period, this temple is built on a man-made hill, and requires you to climb 300 steps to get to the top of the chedi. A colourful week-long fair is hosted here every November. ",https://www.holidify.com/images/attr_square/attr_121726.jpg?v=1.1,2.8,9.7,2500,-1,0,1,1,4.1,5.6,4,2.6,8.8,3.1,5.5,3
29,Wat Traimit ,Bangkok," Wat Traimit, nestled at the end of Chinatown's Yaowarat Road near Hualampong Railway Station is the perfect place to admire the glittering gold statue of Buddha. One of the best royal temples of Bangkok, it is famous for housing a pure gold statue of Lord Buddha. It is known as 'The Temple of the Golden Buddha', as the world's largest gold statue, which is almost 5 metres tall and 5.5 tonnes heavy, is sheltered here. ",https://www.holidify.com/images/cmsuploads/square/8282543652_9efb15edcf_b_20190814092811.jpg,3.3,1.3,3300,0,0,0,0,7.2,4.1,2,8.7,6.1,8.8,5.7,3.9
30,Erawan Shrine (Thao Mahaprom Shrine) ,Bangkok, The Erawan Shrine was built in 1956 after the Thai government constructed the luxury Erawan hotel at the location. The superstitious labourers and other astrologers decided to honour the Brahma God Thao Mahaprom and hence built this shrine. Ceremonial offerings are made by Thais and tourists to get their wishes fulfilled. Catching a traditional Thai dance performance here is a joyful experience too. ,https://www.holidify.com/images/cmsuploads/square/attr_121733_20190916144421.jpg,2.4,5.9,1600,0,0,1,0,5,9,3.7,7.6,3.6,8.2,4.7,8.9
31,Safari World ,Bangkok," Safari World is one of the most favourite destinations in Bangkok, with both tourists and locals descending on the park to spend quality time amongst the wildlife. Not only a place for gathering knowledge about the ways and lives of wild animals, but it also offers a host of entertaining shows along with activities.  ",https://www.holidify.com/images/cmsuploads/square/3668458736_631bd3d4cf_b_20190131135424jpg,2.9,5.1,1900,0,0,0,0,3.8,3.4,3.9,5.1,3.5,4.7,6.5,6
32,Dream world ,Bangkok," The Dream World theme park is located in Thanyaburi, which is an easy 50-minute drive from Bangkok. The amusement park offers a cheerful, bustling ambience, complete with rollercoasters, colourful parades, candy floss, waterworks, flowering gardens, a snow park and entertainment shows. Children and adults can indulge themselves in the vivacity of Dream World. ",https://www.holidify.com/images/cmsuploads/square/attr_121712.jpg,2.7,3.6,2700,0,1,0,1,4.3,6.1,2.1,7.2,2.8,4.4,5.9,6
33,Snake Farm ,Bangkok," Opened to the public in the year 1923, the snake farm in Bangkok, part of the Thai Red Cross Institute (formerly the Queen Saovabha Memorial Institute) has large pits and mesh enclosures to host its reptile residents. Also called â€œSuan Nguuâ€ù, the snake farm hosts a variety of venomous and non-venomous snakes. Itâ€™s the second oldest such snake farm in the world after a snake farm in Sao Paolo, Brazil. ",https://www.holidify.com/images/cmsuploads/square/maxresdefault_20190204174723jpg,2.7,2.7,1200,-1,1,0,1,1.8,3.1,6.6,4.4,5.4,4.8,2.2,3.1
34,Museum of Contemporary Art ,Bangkok," The museum of contemporary art (MOCA) is a world-class art gallery built in 2012 to showcase some of the best Thai art. The museum contains five storeys, housing 800 beautiful and refreshing art pieces. A must for art lovers, MOCA is no less than any modern museum abroad, giving its artists freedom to work on themes like corruption, prostitution, religion, and many others. ",https://www.holidify.com/images/attr_square/attr_121715.jpg?v=1.1,4,3.3,900,0,1,0,1,4.4,5.1,2.6,7.6,4.9,3.6,6.5,7.9
35,Suan Pakkad Palace ,Bangkok," The name 'Suan Pakkad' translating to 'cabbage patch', is quite unfitting for this private residence turned museum. It's a one of a kind palace museum, as it once used to be the private residence of the Prince and Princess of Chumbhot, and the houses date back to over 100 years. Before being converted into a private collection of homes by the royal family, the land used to be nothing more than a cabbage patch.  ",https://www.holidify.com/images/cmsuploads/square/800px-SUAN_PAKKAD_PALACE_MUSEUM_-_panoramio_(10)_20190123183400.jpg,3.3,6.1,2700,1,1,1,0,1.6,2.6,6,2.5,1.7,5,5.2,2.2
36,Siam Niramit ,Bangkok," The Siam Niramit Cultural Show is a definite experience while you are here. Showcasing authentic Thai culture, this jaw-dropping performance would leave you in complete awe. A beautiful, yummy and authentic Thai dinner organised post the show provides for a whole entertainment package. While the prices may seem to be on the higher end, it's undoubtedly a pure delight! ",https://www.holidify.com/images/cmsuploads/square/17257698165_b69b8b9e6f_b_20190116152349.jpg,4.9,5.2,2400,0,1,0,0,8.2,4.8,2.4,4.4,4.5,1.7,2.4,8.9
37,Sathorn Unique Tower ,Bangkok," Standing with a whopping 49 storeys (including two dungeon dark underground levels), the Sathorn Unique Tower is one of those skyscraper buildings in Bangkok which never got completed due to the Asian Financial Crisis of 1997. The views of the city from the floors of the Sathorn Unique Towers intensify as you ascend them one by one. But be careful while you do so since there have been incidents which regard the place as â€œHauntedâ€ù! ",https://www.holidify.com/images/cmsuploads/square/13068813684_babf1c4951_z_20190317122803.jpg,2.8,9.8,2500,-1,0,1,1,6.1,8.8,9.1,8.2,4.5,8.7,7.9,9
38,CentralWorld ,Bangkok," CentralWorld is the eleventh largest shopping complex in the world, and effectively the largest in Thailand. Sprawled over 7 levels, all embellished with artistic installations, it grazes the zenith of the ultimate retail experience, with hundreds of fashion, entertainment, electronic, wellness and culinary destinations, as well as Hindu shrines and a 5-star hotel.  ",https://www.holidify.com/images/cmsuploads/square/attr_121714.jpg,3.7,7.6,2900,1,0,1,1,7.5,6.4,9.2,4.9,2.3,5.8,9.2,2.4
39,MBK Center (Ma Boon Khrong Center) ,Bangkok," From top branded to local products in clothing, furniture, accessories, luggage, electronics, stationery, and many other things, one can find it all at the MBK Center. Besides shopping, you can dig into scrumptious food at two large food courts. They also have an entire floor dedicated to entertainment, with a cinema and a 3D art museum as well. ",https://www.holidify.com/images/cmsuploads/square/17296521406_a9c25b4c7e_o_20190913144548.jpg,3.3,1.8,3500,-1,0,0,0,7.3,9,5.1,5.8,6.3,4.5,8.7,1.8
40,Giant Swing ,Bangkok," Located right in front of Wat Suthat is a striking Giant Swing towering at the height of 21.15 meters. Nestled in the heart of busy square between Wat Suthat and Bangkok City Hall is a Giant Swing making for a remarkable sight even from a distance. Initially established in the year 1784, the swing went under renovation to be replaced in 2004 with a newly crafted frame made of golden teak.  ",https://www.holidify.com/images/cmsuploads/square/31472001097_d7b092f951_o_20190918122150.jpg,3.8,7.1,2900,-1,0,1,1,3.3,8.3,9.4,6.1,9.4,3.5,2.8,8.5
41,Siriraj medical museum ,Bangkok," The Siriraj Medical Museum is a treat to medical professionals, students and of course, the public as well. Part of the famous Siriraj Hospital, Thailand's oldest hospital, this fascinating musuem combines five mini-museums, exploring the fields of pathology, anatomy, the history of medicine in Thailand, parasitology, forensic medicine, and a prehistoric museum. Its exhibits of bones, organs, corpses, fetuses and so on have earned it the nickname 'Museum of Death'. ",https://www.holidify.com/images/attr_square/attr_121736.jpg?v=1.1,4.9,3.9,3800,0,0,1,1,2.1,6.1,5.3,4.1,8,2.4,6.2,4.6
42,Artist's House ,Bangkok," Also known as Baan Silapin and Khlong Bang Luang, the Artist's House as it is popularly called, is an age-old building that has now been transformed into a beautiful art gallery. It is both a favourite among the locals and a great hit among tourists. The art gallery is at least 200 years old as it sits and shines in its creativity, along the canal. It is s also famous for the extremely entertaining Thai Puppet Show. ",https://www.holidify.com/images/cmsuploads/square/the-artist-house_20190326120526.jpg,4.8,5.5,3400,0,0,0,1,5.4,2.6,4.2,4.5,6.9,6.8,7.4,7.1
43,Buckingham Palace ,London," The official residence and administrative headquarters of the reigning monarch, Buckingham Palace is a major tourist destination. It is located in the City of Westminster. ",https://www.holidify.com/images/attr_square/10830.jpg,5.9,5,3600,1,0,1,0,5.5,4,7.8,3.7,6.4,4.6,2.7,2.2
44,St. Paul's Cathedral,London, St. Paul's Cathedral is famous because of its awe inspiring interior which attracts a lot of tourists. There is a touch screen multimedia guide that helps the tourists explore the iconic building and see some of the greatest tombs and memorials.  ,https://www.holidify.com/images/attr_square/10831.jpg,5.8,5.7,500,0,0,1,1,4.5,6.4,9.4,6.4,8.8,9.4,3.9,6.6
45,London Eye ,London," Centrally located in London, the Coca Cola London Eye can be termed as the heart of the city. It rotates gracefully over the River Thames, opposite the Houses of the Parliament and Big Ben.  ",https://www.holidify.com/images/attr_square/10832.jpg,2.6,9.4,3100,1,1,1,1,5.6,1.7,3.3,3.4,7.5,5.1,3.1,5.6
46,Westminster Abbey  ,London," A historically relevant 1000-year old World Heritage Site, Westminster Abbey in the City of Westminster is one of Londonâ€™s most regal and noteworthy religious churches. Located along the western bank of the River Thames, it is known for having hosted coronations, weddings, and for being a burial site for the English and British monarchs back in the day. ",https://www.holidify.com/images/cmsuploads/square/Westminster-Westminster-Abbey-Church-Building-3920477_20190820170325.jpg,2.8,7.8,1000,0,1,0,1,8.9,2.1,7.2,3.3,2.3,1.9,2.2,7
47,Tower Bridge  ,London, The Tower Bridge holds an exhibition from where one can know all about how the world's most popular bridge works and the history behind the creation of it. One can also enjoy the panoramic views of the city.  ,https://www.holidify.com/images/attr_square/10834.jpg,3.7,2.7,2000,-1,1,1,0,3.2,8.7,8.4,2.9,6.3,4.7,8.7,2.5
48,British Museum ,London," Founded in 1753, the British Museum is one of the most remarkable tourist attractions in London and has a collection of materials over two million years of human history. It presents a unique comparison of the treasures of the global culture under a single roof.  ",https://www.holidify.com/images/attr_square/10835.jpg,5.9,4.2,1400,0,0,0,0,5.7,6.6,7,8.7,1.7,3.4,3.3,9.5
49,National Gallery ,London," The National Gallery is a art gallery situated in London which displays more than 2000 Western European paintings from the Middle Ages to the 20th Century. The works of renowned artists like Botticelli, Leonardo da Vinci, Rembrandt, Turner, Van Gogh, etc are displayed here.  ",https://www.holidify.com/images/attr_square/10836.jpg,4.8,5.3,800,1,0,0,0,2,3.4,6.5,8.6,9.1,4.6,4,1.8
50,Natural History Museum ,London," The Natural History Museum is another popular museum in London which exhibits the dinosaurs gallery, mammals display and other skeletons. It is one of the most beautiful landmark buildings in London.  ",https://www.holidify.com/images/cmsuploads/square/800px-Natural_History_Museum_London_Jan_2006_20190911124831.jpg,3.8,3.9,1800,1,1,0,1,5.4,5.5,8.7,3.2,3.3,4.9,8.1,3.7
51,Somerset House ,London, Somerset House is a unique part of the cultural scene in London. It is a historic building where there are different types of surprising and original work that comes to life and it is considered as a key cultural destination in the heart of the city.  ,https://www.holidify.com/images/attr_square/10838.jpg,5,3.2,1300,0,0,1,0,5.5,9,7.4,7.6,5.2,5.1,7.6,2.5
52,Big Ben and Parliament ,London," Big Ben is referred to the Great Bell of the clock that is situated at the north end of the Palace of Westminster. Also known as clock tower, its official name is Elizabeth Tower. It is just beside the Houses of the parliament.  ",https://www.holidify.com/images/attr_square/10839.jpg,4.4,6.7,1700,0,1,0,1,4.7,2.8,7.6,4.7,9.1,6.7,5.6,8.6
53,Hyde Park  ,London," Hyde Park is visited by millions of tourists and local people every year and it is one of the eight royal parks in London. The Hyde Park covers an area of 350 acres and is home to a number of famous landmarks like the Serpentine Lake, Princess of Wales Memorial Fountain and the Speaker's corner. There are also other recreational activities in the park.  ",https://www.holidify.com/images/attr_square/10840.jpg,3.9,7.9,400,-1,0,1,1,4.5,8.1,3.6,2.2,6.5,1.9,4.6,7.8
54,St,London," Perched atop the highest point in London, and a Grade I listed building under the Historic Buildings and Monuments Commission for England by the British Government, St. Paulâ€™s Cathedral is an Anglican church, which is also the matrice or Mother Church of the Church of Englandâ€™s province of Canterbury or the Diocese of London. ",https://www.holidify.com/images/cmsuploads/square/800px-St_Pauls_aerial_20190819120103.jpg,3.4,1.6,2500,-1,0,0,0,2.6,6.1,3,5.2,2.6,4.9,5.7,4.8
55,BFI London ,London," Conceptualised by James Quinn almost 66 years ago in 1953, the London Film Institute (BFI), UKâ€™s principal arts promotion and preservation organisation, hosts the London Film Festival every year. It is a celebration of the world of cinema, with over 300 screenings of movies and documentaries from talent across 70 countries taking place every year.  ",https://www.holidify.com/images/cmsuploads/square/BFIImax_20190818101946.jpg,2.4,7.1,900,1,1,1,0,5,4.1,4.5,4.3,8.2,3.1,6.8,2.9
56,St,London," Perched atop the highest point in London, and a Grade I listed building under the Historic Buildings and Monuments Commission for England by the British Government, St. Paulâ€™s Cathedral is an Anglican church, which is also the matrice or Mother Church of the Church of Englandâ€™s province of Canterbury or the Diocese of London. ",https://www.holidify.com/images/cmsuploads/square/StPaulsCathedral_20190819131321.jpg,3,8.6,2400,1,0,0,1,4.3,6.4,5.8,5.2,9.2,6.4,6.3,4.5
57,Kensington Palace ,London," Amidst the wide expanse of the Hyde Park stands the regal and splendid royal residence of the British Royal Family since the 17th Century, Kensington Palace. It is situated in Royal Borough of Kensington in Chelsea and London. A part of the palace, the State Rooms, is now a tourist attraction and is open for the public to look around and marvel at the grandeur, magnanimity, and the history of the place. ",https://www.holidify.com/images/cmsuploads/square/KensingtonPalace_20190818131556.jpg,3.8,9.7,3000,1,0,1,0,8.3,2.4,6.7,4.3,3.3,3.5,8.3,8.6
58,Warner Bros Studio Tour ,London," The Warner Bros Studios Tour is located just outside London at Leavesden, Watford. This fully working studio, one of the largest in the UK, has witnessed many films being shot here, such as the entire Harry Potter series, Batman movies, Star Wars movies, and the Mission Impossible films. ",https://www.holidify.com/images/cmsuploads/square/7093860549_5ea56914e2_b_20190820122534.jpg,4.8,7.8,2400,-1,1,0,0,3.6,4.6,6.8,2.7,7,9.1,7.6,4.8
59,Millennium Bridge ,London," Officially called the London Millennium Footbridge and famously known as the â€˜Wobbly Bridgeâ€™, the Millennium Bridge, located between Southwark Bridge and Blackfriars Railway Bridge is for pedestrians to cross the River Thames. It is a steel suspension bridge, inaugurated in 2000, which is owned by Bridge House Estates, a charitable trust under the City of London Corporation. They are also in charge of its maintenance. ",https://www.holidify.com/images/cmsuploads/square/MillenniumBridge_20190818130738.jpg,2.7,3.2,900,1,0,0,1,2.7,3.1,8.2,9.1,6.4,2.3,8,6
60,London Museum of Transport ,London," Located in the heart of Covent Garden Piazza, the London Transport or LT Museum is a London heritage site, preserving and exhibiting the placeâ€™s transport network, its history, and its growth over the years, along with all aspects of transportation in the city, ranging from buses to tubes to trains. ",https://www.holidify.com/images/cmsuploads/square/LondonMuseumofTransport_20190818125929.jpg,3.8,6.9,1600,0,0,1,0,4.9,8.6,6.9,2.9,1.8,7.5,9.3,6.1
